datetime,symbol,open,high,low,close,volume
2022-01-03 01:00:00,FX:EURUSD,1.13835,1.13835,1.13658,1.1373199999999999,701.0
2022-01-03 02:00:00,FX:EURUSD,1.1373199999999999,1.13787,1.13692,1.13728,3094.0
2022-01-03 03:00:00,FX:EURUSD,1.13728,1.13756,1.13609,1.13619,2634.0
2022-01-03 04:00:00,FX:EURUSD,1.13619,1.13653,1.135,1.13586,3624.0
2022-01-03 05:00:00,FX:EURUSD,1.13586,1.13586,1.13425,1.13427,2856.0
2022-01-03 06:00:00,FX:EURUSD,1.13427,1.135,1.13411,1.13483,2255.0
2022-01-03 07:00:00,FX:EURUSD,1.13483,1.13491,1.13386,1.13405,1943.0
2022-01-03 08:00:00,FX:EURUSD,1.13405,1.13412,1.13361,1.1338,1805.0
2022-01-03 09:00:00,FX:EURUSD,1.1338,1.13462,1.13379,1.13432,2007.0
2022-01-03 10:00:00,FX:EURUSD,1.13432,1.135,1.1335,1.13481,5037.0
2022-01-03 11:00:00,FX:EURUSD,1.13481,1.13481,1.13353,1.13464,9449.0
2022-01-03 12:00:00,FX:EURUSD,1.13464,1.13563,1.13357,1.13516,7712.0
2022-01-03 13:00:00,FX:EURUSD,1.13516,1.13597,1.13504,1.13553,6234.0
2022-01-03 14:00:00,FX:EURUSD,1.13553,1.13662,1.1351499999999999,1.13556,7125.0
2022-01-03 15:00:00,FX:EURUSD,1.13556,1.13595,1.13465,1.13587,8676.0
2022-01-03 16:00:00,FX:EURUSD,1.13587,1.13643,1.1346,1.13508,12168.0
2022-01-03 17:00:00,FX:EURUSD,1.13508,1.13518,1.13,1.13063,14939.0
2022-01-03 18:00:00,FX:EURUSD,1.13063,1.13093,1.12903,1.12917,16845.0
2022-01-03 19:00:00,FX:EURUSD,1.12917,1.12988,1.12828,1.12887,12127.0
2022-01-03 20:00:00,FX:EURUSD,1.12887,1.12901,1.12796,1.12838,5628.0
2022-01-03 21:00:00,FX:EURUSD,1.12838,1.12968,1.12834,1.1294899999999999,3347.0
2022-01-03 22:00:00,FX:EURUSD,1.1294899999999999,1.12998,1.12937,1.12972,3713.0
2022-01-03 23:00:00,FX:EURUSD,1.12972,1.13004,1.12936,1.12965,3740.0
2022-01-04 00:00:00,FX:EURUSD,1.12965,1.12992,1.12941,1.12941,1181.0
2022-01-04 01:00:00,FX:EURUSD,1.12941,1.12961,1.12928,1.12947,4870.0
2022-01-04 02:00:00,FX:EURUSD,1.12947,1.13024,1.12947,1.13019,1882.0
2022-01-04 03:00:00,FX:EURUSD,1.13019,1.13068,1.13014,1.13056,2467.0
2022-01-04 04:00:00,FX:EURUSD,1.13056,1.1308799999999999,1.13014,1.13065,3768.0
2022-01-04 05:00:00,FX:EURUSD,1.13065,1.13094,1.12997,1.13023,3457.0
2022-01-04 06:00:00,FX:EURUSD,1.13023,1.13044,1.12953,1.12977,3753.0
2022-01-04 07:00:00,FX:EURUSD,1.12977,1.13057,1.12964,1.13006,2446.0
2022-01-04 08:00:00,FX:EURUSD,1.13006,1.13057,1.13005,1.13048,2234.0
2022-01-04 09:00:00,FX:EURUSD,1.13048,1.13072,1.12919,1.1293199999999999,3143.0
2022-01-04 10:00:00,FX:EURUSD,1.1293199999999999,1.12944,1.12833,1.12915,7217.0
2022-01-04 11:00:00,FX:EURUSD,1.12915,1.13004,1.12875,1.12897,10556.0
2022-01-04 12:00:00,FX:EURUSD,1.12897,1.13082,1.12833,1.13021,9423.0
2022-01-04 13:00:00,FX:EURUSD,1.13021,1.13056,1.12945,1.12946,7822.0
